species,smiles,parent,parent 2,isotopologue,source,N,logN,final vectors 70,final vectors iso 70
CH2OHCHO,O=CCO,Main,Main,n,Jorgensen et al. (16),3.20E+16,16.51,"[-4.489857, 2.203757, -1.8369999, -1.8275534, 4.4223094, 1.3533556, -4.3621883, 0.5689516, 3.04918, 2.9189267, 1.7431436, -1.5467834, 0.4076891, 3.0140376, 4.1807175, 0.33712235, -5.491764, 1.149836, 2.6887941, -0.8520599, 0.92828715, 0.053092774, 3.844234, 0.0370619, -6.185125, -2.1742628, -2.8902483, 2.4980962, 2.0009217, -0.8808247, 1.3704407, -2.879158, -1.0025425, 0.499865, -0.42447627, -0.46203098, -3.153519, 3.7314167, -0.536415, 1.6878153, 1.6283455, -3.3384135, -0.58156914, -2.1158967, 3.4773002, -4.024708, 6.43991, -0.25117695, 0.57706124, 1.3316594, -1.409404, -1.7269262, 2.349742, 1.3062212, 2.6108797, 0.8147761, -4.0266285, -1.944061, 0.07890825, -0.8240023, 0.442281, 0.9342536, 1.9106807, 5.753387, -1.4502833, -1.0960988, 0.40889204, 0.6134343, -0.68359005, 0.88280475]","[-4.489857, 2.203757, -1.8369999, -1.8275534, 4.4223094, 1.3533556, -4.3621883, 0.5689516, 3.04918, 2.9189267, 1.7431436, -1.5467834, 0.4076891, 3.0140376, 4.1807175, 0.33712235, -5.491764, 1.149836, 2.6887941, -0.8520599, 0.92828715, 0.053092774, 3.844234, 0.0370619, -6.185125, -2.1742628, -2.8902483, 2.4980962, 2.0009217, -0.8808247, 1.3704407, -2.879158, -1.0025425, 0.499865, -0.42447627, -0.46203098, -3.153519, 3.7314167, -0.536415, 1.6878153, 1.6283455, -3.3384135, -0.58156914, -2.1158967, 3.4773002, -4.024708, 6.43991, -0.25117695, 0.57706124, 1.3316594, -1.409404, -1.7269262, 2.349742, 1.3062212, 2.6108797, 0.8147761, -4.0266285, -1.944061, 0.07890825, -0.8240023, 0.442281, 0.9342536, 1.9106807, 5.753387, -1.4502833, -1.0960988, 0.40889204, 0.6134343, -0.68359005, 0.88280475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0]"
CHDOHCHO,[2H]C(O)C=O,O=CCO,O=CCO,y,Jorgensen et al. (16),3.32E+15,15.52113808,"[-5.0106454, 2.7914329, -1.0960553, -2.1584663, 4.0592318, 2.000606, -3.8731816, 3.1008315, 3.5247624, 2.7942684, 2.1354775, -2.30896, 1.4554042, 1.8460289, 1.5037413, 0.06974597, -5.8097014, 3.0106013, 4.495285, -2.7344232, 0.7143542, -0.052553143, 5.0361986, -1.738297, -6.0811224, -2.7621458, -1.9804208, 2.2484822, 2.5207295, -1.1246527, 0.8983621, -3.0484257, -3.1100414, -0.732961, -0.8583846, -0.6126597, -2.8795714, 4.3237057, -0.089925855, 1.4705474, 1.7721786, -3.0210845, -1.2807807, -3.0058475, 3.045072, -3.3143287, 6.094069, -1.5604682, 0.84812105, 0.6490709, -2.5110183, -1.8099244, 1.827416, 2.3221624, 1.3772707, 0.28963375, -6.6146383, -3.9317584, -1.1172801, -1.3664112, 0.20948164, 0.3848741, 4.2516975, 7.3902206, -1.6841329, -0.82744825, 0.15153196, 2.0943387, -0.0025113523, 0.6236031]","[-4.489857, 2.203757, -1.8369999, -1.8275534, 4.4223094, 1.3533556, -4.3621883, 0.5689516, 3.04918, 2.9189267, 1.7431436, -1.5467834, 0.4076891, 3.0140376, 4.1807175, 0.33712235, -5.491764, 1.149836, 2.6887941, -0.8520599, 0.92828715, 0.053092774, 3.844234, 0.0370619, -6.185125, -2.1742628, -2.8902483, 2.4980962, 2.0009217, -0.8808247, 1.3704407, -2.879158, -1.0025425, 0.499865, -0.42447627, -0.46203098, -3.153519, 3.7314167, -0.536415, 1.6878153, 1.6283455, -3.3384135, -0.58156914, -2.1158967, 3.4773002, -4.024708, 6.43991, -0.25117695, 0.57706124, 1.3316594, -1.409404, -1.7269262, 2.349742, 1.3062212, 2.6108797, 0.8147761, -4.0266285, -1.944061, 0.07890825, -0.8240023, 0.442281, 0.9342536, 1.9106807, 5.753387, -1.4502833, -1.0960988, 0.40889204, 0.6134343, -0.68359005, 0.88280475, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 1, 1, 0]"
CH2ODCHO,[2H]OCC=O,O=CCO,O=CCO,y,Jorgensen et al. (16),1.50E+15,15.17609126,"[-6.780928, 3.701103, -0.22212626, -2.2635834, 3.5410974, 1.4838562, -4.5726914, 3.0981123, 3.207352, 2.0212913, 1.4493678, -2.6219792, 1.9282986, 1.6181848, 1.6313212, -0.68649375, -4.201071, 2.9258406, 3.3650477, -3.0637608, 1.1984318, 0.3007401, 4.8358254, -1.6889381, -6.129965, -2.0330215, -1.3692808, 3.6382072, 2.9545536, -2.334219, 1.5344245, -2.8321996, -2.3562794, -1.0183583, -1.361891, -1.1563658, -2.3141048, 4.4652176, 0.38836145, 2.5333781, 2.445693, -3.6852655, -1.2842987, -3.0076704, 3.037413, -2.7900536, 6.788938, -1.5521009, 1.4492877, 1.470981, -2.008696, -1.7788279, 0.7234806, 2.738397, 0.57825834, -0.3994506, -7.639025, -3.7964365, -0.49266315, -0.7445626, -0.3450335, 1.4555538, 4.033949, 8.306593, -2.1238925, -1.3548317, 0.37016895, 1.8914026, -0.19154987, 0.18473974]","[-4.489857, 2.203757, -1.8369999, -1.8275534, 4.4223094, 1.3533556, -4.3621883, 0.5689516, 3.04918, 2.9189267, 1.7431436, -1.5467834, 0.4076891, 3.0140376, 4.1807175, 0.33712235, -5.491764, 1.149836, 2.6887941, -0.8520599, 0.92828715, 0.053092774, 3.844234, 0.0370619, -6.185125, -2.1742628, -2.8902483, 2.4980962, 2.0009217, -0.8808247, 1.3704407, -2.879158, -1.0025425, 0.499865, -0.42447627, -0.46203098, -3.153519, 3.7314167, -0.536415, 1.6878153, 1.6283455, -3.3384135, -0.58156914, -2.1158967, 3.4773002, -4.024708, 6.43991, -0.25117695, 0.57706124, 1.3316594, -1.409404, -1.7269262, 2.349742, 1.3062212, 2.6108797, 0.8147761, -4.0266285, -1.944061, 0.07890825, -0.8240023, 0.442281, 0.9342536, 1.9106807, 5.753387, -1.4502833, -1.0960988, 0.40889204, 0.6134343, -0.68359005, 0.88280475, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 0, 1, 0]"
CH2OHCDO,[2H]C(=O)CO,O=CCO,O=CCO,y,Jorgensen et al. (16),1.64E+15,15.21484385,"[-7.1573753, 2.7490044, -0.54750884, -2.4097667, 4.1298003, 1.5185189, -4.550372, 3.0913725, 3.036686, 2.5621758, 1.9265141, -2.344922, 1.4624015, 1.9640596, 2.5256293, -0.73774827, -5.4140453, 3.5493572, 3.589017, -3.4922612, 1.3862947, -0.0068514384, 4.9208903, -2.3321683, -6.808599, -2.4913259, -2.1064742, 3.01997, 2.5845141, -2.1762857, 1.07218, -2.3064353, -2.6439452, -0.17449525, -1.982586, -1.0143045, -3.2483804, 4.684535, 0.08907521, 1.7074778, 2.0626101, -4.0623507, -1.6780037, -4.471847, 3.225305, -3.019257, 5.2055254, -0.42519695, 1.2444801, 1.6692945, -2.2863767, -3.0445228, 1.6477413, 3.5807219, 1.2029344, 0.91466457, -6.8942995, -3.564227, -1.5477709, -0.37681758, 0.9675623, 0.54100674, 4.6869817, 7.159152, -2.2744231, -1.2903228, 0.095649615, 1.3650061, 0.059982046, 0.18903461]","[-4.489857, 2.203757, -1.8369999, -1.8275534, 4.4223094, 1.3533556, -4.3621883, 0.5689516, 3.04918, 2.9189267, 1.7431436, -1.5467834, 0.4076891, 3.0140376, 4.1807175, 0.33712235, -5.491764, 1.149836, 2.6887941, -0.8520599, 0.92828715, 0.053092774, 3.844234, 0.0370619, -6.185125, -2.1742628, -2.8902483, 2.4980962, 2.0009217, -0.8808247, 1.3704407, -2.879158, -1.0025425, 0.499865, -0.42447627, -0.46203098, -3.153519, 3.7314167, -0.536415, 1.6878153, 1.6283455, -3.3384135, -0.58156914, -2.1158967, 3.4773002, -4.024708, 6.43991, -0.25117695, 0.57706124, 1.3316594, -1.409404, -1.7269262, 2.349742, 1.3062212, 2.6108797, 0.8147761, -4.0266285, -1.944061, 0.07890825, -0.8240023, 0.442281, 0.9342536, 1.9106807, 5.753387, -1.4502833, -1.0960988, 0.40889204, 0.6134343, -0.68359005, 0.88280475, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 1, 1, 1]"
(13C)H2OHCHO,O=C[13CH2]O,O=CCO,O=CCO,y,Jorgensen et al. (16),1.17E+15,15.06833876,"[-4.489857, 2.203757, -1.8369999, -1.8275534, 4.4223094, 1.3533556, -4.3621883, 0.5689516, 3.04918, 2.9189267, 1.7431436, -1.5467834, 0.4076891, 3.0140376, 4.1807175, 0.33712235, -5.491764, 1.149836, 2.6887941, -0.8520599, 0.92828715, 0.053092774, 3.844234, 0.0370619, -6.185125, -2.1742628, -2.8902483, 2.4980962, 2.0009217, -0.8808247, 1.3704407, -2.879158, -1.0025425, 0.499865, -0.42447627, -0.46203098, -3.153519, 3.7314167, -0.536415, 1.6878153, 1.6283455, -3.3384135, -0.58156914, -2.1158967, 3.4773002, -4.024708, 6.43991, -0.25117695, 0.57706124, 1.3316594, -1.409404, -1.7269262, 2.349742, 1.3062212, 2.6108797, 0.8147761, -4.0266285, -1.944061, 0.07890825, -0.8240023, 0.442281, 0.9342536, 1.9106807, 5.753387, -1.4502833, -1.0960988, 0.40889204, 0.6134343, -0.68359005, 0.88280475]","[-4.489857, 2.203757, -1.8369999, -1.8275534, 4.4223094, 1.3533556, -4.3621883, 0.5689516, 3.04918, 2.9189267, 1.7431436, -1.5467834, 0.4076891, 3.0140376, 4.1807175, 0.33712235, -5.491764, 1.149836, 2.6887941, -0.8520599, 0.92828715, 0.053092774, 3.844234, 0.0370619, -6.185125, -2.1742628, -2.8902483, 2.4980962, 2.0009217, -0.8808247, 1.3704407, -2.879158, -1.0025425, 0.499865, -0.42447627, -0.46203098, -3.153519, 3.7314167, -0.536415, 1.6878153, 1.6283455, -3.3384135, -0.58156914, -2.1158967, 3.4773002, -4.024708, 6.43991, -0.25117695, 0.57706124, 1.3316594, -1.409404, -1.7269262, 2.349742, 1.3062212, 2.6108797, 0.8147761, -4.0266285, -1.944061, 0.07890825, -0.8240023, 0.442281, 0.9342536, 1.9106807, 5.753387, -1.4502833, -1.0960988, 0.40889204, 0.6134343, -0.68359005, 0.88280475, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 4, 0, 0, 0]"
CH2OH(13C)HO,O=[13CH]CO,O=CCO,O=CCO,y,Jorgensen et al. (16),1.17E+15,15.06813549,"[-4.489857, 2.203757, -1.8369999, -1.8275534, 4.4223094, 1.3533556, -4.3621883, 0.5689516, 3.04918, 2.9189267, 1.7431436, -1.5467834, 0.4076891, 3.0140376, 4.1807175, 0.33712235, -5.491764, 1.149836, 2.6887941, -0.8520599, 0.92828715, 0.053092774, 3.844234, 0.0370619, -6.185125, -2.1742628, -2.8902483, 2.4980962, 2.0009217, -0.8808247, 1.3704407, -2.879158, -1.0025425, 0.499865, -0.42447627, -0.46203098, -3.153519, 3.7314167, -0.536415, 1.6878153, 1.6283455, -3.3384135, -0.58156914, -2.1158967, 3.4773002, -4.024708, 6.43991, -0.25117695, 0.57706124, 1.3316594, -1.409404, -1.7269262, 2.349742, 1.3062212, 2.6108797, 0.8147761, -4.0266285, -1.944061, 0.07890825, -0.8240023, 0.442281, 0.9342536, 1.9106807, 5.753387, -1.4502833, -1.0960988, 0.40889204, 0.6134343, -0.68359005, 0.88280475]","[-4.489857, 2.203757, -1.8369999, -1.8275534, 4.4223094, 1.3533556, -4.3621883, 0.5689516, 3.04918, 2.9189267, 1.7431436, -1.5467834, 0.4076891, 3.0140376, 4.1807175, 0.33712235, -5.491764, 1.149836, 2.6887941, -0.8520599, 0.92828715, 0.053092774, 3.844234, 0.0370619, -6.185125, -2.1742628, -2.8902483, 2.4980962, 2.0009217, -0.8808247, 1.3704407, -2.879158, -1.0025425, 0.499865, -0.42447627, -0.46203098, -3.153519, 3.7314167, -0.536415, 1.6878153, 1.6283455, -3.3384135, -0.58156914, -2.1158967, 3.4773002, -4.024708, 6.43991, -0.25117695, 0.57706124, 1.3316594, -1.409404, -1.7269262, 2.349742, 1.3062212, 2.6108797, 0.8147761, -4.0266285, -1.944061, 0.07890825, -0.8240023, 0.442281, 0.9342536, 1.9106807, 5.753387, -1.4502833, -1.0960988, 0.40889204, 0.6134343, -0.68359005, 0.88280475, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 4, 0, 0, 0]"
CH2NH,C=N,Main,Main,n,Ligertink et al. (2017b),8.00E+14,14.90308999,"[-1.1485553, 1.595504, 1.1045957, -1.5141557, 1.4354652, 0.32322776, -1.5736066, -0.59894603, 1.8697042, 1.7019694, 1.5115194, -0.5613259, 0.33618048, 0.12770054, 1.8565841, -1.7221375, -1.0119147, -0.13585877, 1.3586656, -1.7927804, -0.112528324, 0.28903863, 1.308112, 0.13930756, -0.09924476, -1.3300357, 0.2436944, 1.8003433, 0.6173294, -1.2029437, 0.6103501, -0.31338015, 1.0839727, -0.22304147, 0.21781398, -0.7505075, -0.6010452, 0.41666287, -0.42890674, 0.26841623, 0.019812077, -0.96510464, 0.77865785, -0.12980138, 0.8892729, -0.108264625, 1.635087, -0.1166057, 0.69945693, 0.24347283, -0.9672827, -0.81095105, -0.49562588, 2.0314918, 1.0047051, -0.043418437, -1.3630173, 0.44480053, 0.1226185, 0.3273219, -0.97516525, -0.5066752, 1.282266, 1.6653321, 0.19703546, -0.19951007, 0.86865497, -0.52502584, -1.3410416, -1.2416644]","[-1.1485553, 1.595504, 1.1045957, -1.5141557, 1.4354652, 0.32322776, -1.5736066, -0.59894603, 1.8697042, 1.7019694, 1.5115194, -0.5613259, 0.33618048, 0.12770054, 1.8565841, -1.7221375, -1.0119147, -0.13585877, 1.3586656, -1.7927804, -0.112528324, 0.28903863, 1.308112, 0.13930756, -0.09924476, -1.3300357, 0.2436944, 1.8003433, 0.6173294, -1.2029437, 0.6103501, -0.31338015, 1.0839727, -0.22304147, 0.21781398, -0.7505075, -0.6010452, 0.41666287, -0.42890674, 0.26841623, 0.019812077, -0.96510464, 0.77865785, -0.12980138, 0.8892729, -0.108264625, 1.635087, -0.1166057, 0.69945693, 0.24347283, -0.9672827, -0.81095105, -0.49562588, 2.0314918, 1.0047051, -0.043418437, -1.3630173, 0.44480053, 0.1226185, 0.3273219, -0.97516525, -0.5066752, 1.282266, 1.6653321, 0.19703546, -0.19951007, 0.86865497, -0.52502584, -1.3410416, -1.2416644, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0]"
CH3COOH,CC(=O)O,Main,Main,n,Jorgensen et al. (16),2.80E+15,15.45,"[-3.58613, -0.5777247, -0.22631034, -0.4258935, 3.5428927, -0.8786963, -3.9081573, 0.27595174, 2.0250015, 1.1874163, 4.09067, -1.326998, 3.2118807, 0.9680763, 4.6680555, -0.10633507, -4.625154, 1.8899456, 3.9679203, -1.0346708, -0.05444172, -0.033306137, 1.9765126, -0.31289417, -3.5533266, -2.6742015, -1.8917439, 1.5976307, 3.3350692, 0.7406515, -0.350932, -5.141811, 0.84766275, -3.3059492, 1.0034226, 0.42784554, -2.589282, 2.5480504, 0.9503714, 2.5721183, -1.0410068, -1.3585854, -0.20339237, 0.55042964, 2.3428192, -1.9448228, 6.1208773, -0.38931704, 1.2317398, 2.268218, -0.92457753, 0.04667011, 1.3022125, -0.43789774, 1.980166, 0.0563187, -3.5686488, -1.3598565, -1.257955, -0.68179655, -2.6412337, 0.5459311, 3.194353, 4.108392, 0.23227975, -1.3298336, 0.7138201, 0.6170408, -1.0765712, -0.7795048]","[-3.58613, -0.5777247, -0.22631034, -0.4258935, 3.5428927, -0.8786963, -3.9081573, 0.27595174, 2.0250015, 1.1874163, 4.09067, -1.326998, 3.2118807, 0.9680763, 4.6680555, -0.10633507, -4.625154, 1.8899456, 3.9679203, -1.0346708, -0.05444172, -0.033306137, 1.9765126, -0.31289417, -3.5533266, -2.6742015, -1.8917439, 1.5976307, 3.3350692, 0.7406515, -0.350932, -5.141811, 0.84766275, -3.3059492, 1.0034226, 0.42784554, -2.589282, 2.5480504, 0.9503714, 2.5721183, -1.0410068, -1.3585854, -0.20339237, 0.55042964, 2.3428192, -1.9448228, 6.1208773, -0.38931704, 1.2317398, 2.268218, -0.92457753, 0.04667011, 1.3022125, -0.43789774, 1.980166, 0.0563187, -3.5686488, -1.3598565, -1.257955, -0.68179655, -2.6412337, 0.5459311, 3.194353, 4.108392, 0.23227975, -1.3298336, 0.7138201, 0.6170408, -1.0765712, -0.7795048, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0]"
c-C2H4O,C1CO1,Main,Main,n,Lykke et al. (17),5.40E+15,15.73,"[-4.4067354, 1.8190478, 1.1512375, 1.7940052, 4.161343, 0.12997182, -1.3305016, 2.3057063, 2.7454581, 2.4074817, 2.8423057, -2.0571432, 1.5809197, 0.77473885, 3.9123702, 0.79414856, -4.312129, 0.8915397, 1.9118624, 1.1172568, -0.32188836, 0.95005435, 4.487006, -0.7788071, -3.7653162, -3.6380754, -0.40792543, 0.61972976, -0.17707926, -1.7402709, 2.4687417, -5.2123985, -1.1426808, -1.7974643, 1.3464355, 1.7165166, -1.7734928, 2.7176938, -0.67032975, -2.3828943, -1.611661, 0.26736033, 1.1797659, 1.462216, 1.2198503, -2.1949098, 2.7456534, -1.0019354, -0.971767, 3.5899518, -2.982953, -0.29214776, -0.414536, -1.1657447, 4.6378875, 1.4861333, -2.2762122, 0.2882542, -0.6166232, 2.5076354, 0.8607393, 0.60193944, 0.11709283, 2.8953705, -0.5443167, 0.6747104, 0.25909802, 0.091517046, 1.3514456, 2.395464]","[-4.4067354, 1.8190478, 1.1512375, 1.7940052, 4.161343, 0.12997182, -1.3305016, 2.3057063, 2.7454581, 2.4074817, 2.8423057, -2.0571432, 1.5809197, 0.77473885, 3.9123702, 0.79414856, -4.312129, 0.8915397, 1.9118624, 1.1172568, -0.32188836, 0.95005435, 4.487006, -0.7788071, -3.7653162, -3.6380754, -0.40792543, 0.61972976, -0.17707926, -1.7402709, 2.4687417, -5.2123985, -1.1426808, -1.7974643, 1.3464355, 1.7165166, -1.7734928, 2.7176938, -0.67032975, -2.3828943, -1.611661, 0.26736033, 1.1797659, 1.462216, 1.2198503, -2.1949098, 2.7456534, -1.0019354, -0.971767, 3.5899518, -2.982953, -0.29214776, -0.414536, -1.1657447, 4.6378875, 1.4861333, -2.2762122, 0.2882542, -0.6166232, 2.5076354, 0.8607393, 0.60193944, 0.11709283, 2.8953705, -0.5443167, 0.6747104, 0.25909802, 0.091517046, 1.3514456, 2.395464, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0]"
c-C2H3DO,[2H]C1CO1,C1CO1,C1CO1,y,Muller et al. (22),7.80E+14,14.8920946,"[-6.026622, 3.6426554, 1.3629398, 1.7749493, 2.9677107, 0.68588066, -0.6399846, 5.3090763, 4.1324744, 1.6028334, 3.5377812, -2.689106, 2.7283711, -0.28573173, 0.3023957, -0.46834874, -5.026681, 3.6997638, 4.0749173, -1.0787064, 0.4889197, 1.0266559, 5.7130027, -2.1662323, -4.92802, -3.669148, 1.2807002, 1.1374247, 0.4013167, -4.2200656, 2.9981391, -6.303962, -2.7632535, -2.209681, 0.3067296, 1.2805272, -0.32441795, 3.7128427, 0.34220833, -2.4881024, -1.2994943, 0.099944755, 0.7268205, 0.25470155, 1.0690377, -0.991075, 1.435745, -2.3841171, -0.06287798, 4.5527287, -3.967691, -0.91643274, -1.5257133, -0.437006, 4.3023467, 0.106129706, -5.528376, -1.7461145, -2.677708, 2.4787412, 1.0348638, 1.5666335, 1.4241136, 4.4028964, -0.9358989, -0.38993666, 0.8941511, 1.0524904, 1.6888571, 2.1082094]","[-4.4067354, 1.8190478, 1.1512375, 1.7940052, 4.161343, 0.12997182, -1.3305016, 2.3057063, 2.7454581, 2.4074817, 2.8423057, -2.0571432, 1.5809197, 0.77473885, 3.9123702, 0.79414856, -4.312129, 0.8915397, 1.9118624, 1.1172568, -0.32188836, 0.95005435, 4.487006, -0.7788071, -3.7653162, -3.6380754, -0.40792543, 0.61972976, -0.17707926, -1.7402709, 2.4687417, -5.2123985, -1.1426808, -1.7974643, 1.3464355, 1.7165166, -1.7734928, 2.7176938, -0.67032975, -2.3828943, -1.611661, 0.26736033, 1.1797659, 1.462216, 1.2198503, -2.1949098, 2.7456534, -1.0019354, -0.971767, 3.5899518, -2.982953, -0.29214776, -0.414536, -1.1657447, 4.6378875, 1.4861333, -2.2762122, 0.2882542, -0.6166232, 2.5076354, 0.8607393, 0.60193944, 0.11709283, 2.8953705, -0.5443167, 0.6747104, 0.25909802, 0.091517046, 1.3514456, 2.395464, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 1, 1, 0]"
HC3N,C#CC#N,Main,Main,n,Calcutt et al. (2018b),1.80E+14,14.26,"[0.7277442, 2.8644364, 3.0409722, -2.1204135, 3.3342988, 0.18980509, -4.5212507, 2.029134, 4.5667067, 0.5247997, 2.1547637, -1.2088826, 3.4766173, 3.3421047, 5.2463746, 0.31186566, -2.2938864, 1.074363, 3.0300717, 1.2188185, -0.6884911, 0.80202454, 3.0037272, 3.2202432, -3.9475803, -3.9747112, -3.0278525, 5.1459837, 5.631748, -0.85694456, 3.5106127, -1.8686404, -3.2240415, -0.18357022, -0.7048639, 2.3796823, -4.5568695, 6.5648985, -2.2730124, 1.0777122, -0.27881604, -2.472899, 0.6641351, 0.8381934, 2.3691652, -2.4358675, 0.34269693, -4.060506, -0.843066, 3.3476067, -0.43997645, -2.0887914, 3.1695106, -1.509241, 3.8365273, 0.14971364, -3.729444, -2.2345648, -6.460208, -0.29413676, 2.787245, 0.056478634, 5.4853554, 8.78465, -0.5632491, -1.4244844, -6.825921, 1.948381, -4.3963594, 0.17333844]","[0.7277442, 2.8644364, 3.0409722, -2.1204135, 3.3342988, 0.18980509, -4.5212507, 2.029134, 4.5667067, 0.5247997, 2.1547637, -1.2088826, 3.4766173, 3.3421047, 5.2463746, 0.31186566, -2.2938864, 1.074363, 3.0300717, 1.2188185, -0.6884911, 0.80202454, 3.0037272, 3.2202432, -3.9475803, -3.9747112, -3.0278525, 5.1459837, 5.631748, -0.85694456, 3.5106127, -1.8686404, -3.2240415, -0.18357022, -0.7048639, 2.3796823, -4.5568695, 6.5648985, -2.2730124, 1.0777122, -0.27881604, -2.472899, 0.6641351, 0.8381934, 2.3691652, -2.4358675, 0.34269693, -4.060506, -0.843066, 3.3476067, -0.43997645, -2.0887914, 3.1695106, -1.509241, 3.8365273, 0.14971364, -3.729444, -2.2345648, -6.460208, -0.29413676, 2.787245, 0.056478634, 5.4853554, 8.78465, -0.5632491, -1.4244844, -6.825921, 1.948381, -4.3963594, 0.17333844, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0]"
H2S,S,Main,Main,n,Drozdovskaya (18),1.70E+17,17.23,"[0.20140675, -0.04654868, 0.8073308, 0.045414187, 0.09613168, -0.12031608, 0.14828144, 0.47588614, 0.45902818, 0.27420023, 0.07977503, 0.037978236, 0.44111612, -0.39315897, 0.41995603, 0.094958596, 0.22865425, 0.07599921, 0.8120586, -0.1034236, 0.26568073, 0.6046874, 0.08120744, -0.18248412, -0.26997998, 0.060169008, -0.13382767, 0.111945726, 0.07878454, -0.443991, -0.13648634, 0.31299195, 0.041147456, 0.102714956, 0.02969558, -0.25659218, 0.28488755, 0.10703696, 0.23794806, 0.5342997, -0.37350345, -0.6043562, 0.043441083, -0.6723531, -0.0066935495, 0.00994005, 0.30479088, -0.6309378, -0.050040428, 0.4595433, -0.27859536, -0.3439755, -0.09977434, 0.5904285, 0.40163848, 0.08437367, -0.8834698, 0.63406366, 0.49671638, 0.0053654932, -0.6324172, 0.62030643, 0.33194265, 0.45001224, 0.61326414, -0.7429992, -0.09777814, 0.13409533, 0.11735581, -0.16358614]","[0.20140675, -0.04654868, 0.8073308, 0.045414187, 0.09613168, -0.12031608, 0.14828144, 0.47588614, 0.45902818, 0.27420023, 0.07977503, 0.037978236, 0.44111612, -0.39315897, 0.41995603, 0.094958596, 0.22865425, 0.07599921, 0.8120586, -0.1034236, 0.26568073, 0.6046874, 0.08120744, -0.18248412, -0.26997998, 0.060169008, -0.13382767, 0.111945726, 0.07878454, -0.443991, -0.13648634, 0.31299195, 0.041147456, 0.102714956, 0.02969558, -0.25659218, 0.28488755, 0.10703696, 0.23794806, 0.5342997, -0.37350345, -0.6043562, 0.043441083, -0.6723531, -0.0066935495, 0.00994005, 0.30479088, -0.6309378, -0.050040428, 0.4595433, -0.27859536, -0.3439755, -0.09977434, 0.5904285, 0.40163848, 0.08437367, -0.8834698, 0.63406366, 0.49671638, 0.0053654932, -0.6324172, 0.62030643, 0.33194265, 0.45001224, 0.61326414, -0.7429992, -0.09777814, 0.13409533, 0.11735581, -0.16358614, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
HDS,[2H]S,S,S,y,Drozdovskaya et al. (18),1.60E+16,16.20411998,"[-0.6362039, 0.7713085, 2.0212874, 0.1567721, 0.23462015, -0.19493726, 0.85441494, 2.1172342, 1.5230184, -0.09595528, 0.77545816, -0.5231913, 1.6903701, -1.7887845, -0.95564157, -0.65732664, -0.036321715, 0.8472143, 2.958975, -1.5860558, 0.8324942, 1.0461922, 0.5426273, -1.5647664, -0.6443895, -0.24729201, 0.6007446, 0.7522073, 0.5234726, -1.5642061, 0.27867067, 0.8041519, -0.7449429, -0.11026448, -0.570365, -0.123986274, 0.77702576, 0.6060456, 0.7847406, 0.94022286, -0.48464787, -1.1298101, -0.14558712, -1.7313352, -0.26664072, 0.4397057, 0.49069077, -1.5196942, -0.23762268, 1.8399508, -1.4580846, -1.0845774, -0.39452624, 1.2769406, 0.44231513, -0.43549234, -3.56859, -0.24107498, -0.119663835, 0.3272702, -1.2101511, 1.1027043, 1.7380253, 2.3802624, 1.3543615, -1.2506549, -0.31351414, 0.899701, -0.20988499, -0.5823393]","[0.20140675, -0.04654868, 0.8073308, 0.045414187, 0.09613168, -0.12031608, 0.14828144, 0.47588614, 0.45902818, 0.27420023, 0.07977503, 0.037978236, 0.44111612, -0.39315897, 0.41995603, 0.094958596, 0.22865425, 0.07599921, 0.8120586, -0.1034236, 0.26568073, 0.6046874, 0.08120744, -0.18248412, -0.26997998, 0.060169008, -0.13382767, 0.111945726, 0.07878454, -0.443991, -0.13648634, 0.31299195, 0.041147456, 0.102714956, 0.02969558, -0.25659218, 0.28488755, 0.10703696, 0.23794806, 0.5342997, -0.37350345, -0.6043562, 0.043441083, -0.6723531, -0.0066935495, 0.00994005, 0.30479088, -0.6309378, -0.050040428, 0.4595433, -0.27859536, -0.3439755, -0.09977434, 0.5904285, 0.40163848, 0.08437367, -0.8834698, 0.63406366, 0.49671638, 0.0053654932, -0.6324172, 0.62030643, 0.33194265, 0.45001224, 0.61326414, -0.7429992, -0.09777814, 0.13409533, 0.11735581, -0.16358614, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
